date,gz_spr,baa_aaa,cp_treas1mo,dd_wp25,dd_wp50,dd_wp75,dd_wp50_all,gz_spr_p,gz_spr_oa_p,ebp,xmktret,cds1yr_bd_avg,cds5yr_bd_avg,sp500vix,xret_bd,termspr,ffr_r,empl,uerate,ipm
JAN1983,1.1348,1.9100,0.3200,4.6270,6.3627,9.3376,5.9868,0.7919,1.1883,0.3430,,,,,,-2.6474,2.9024,72958.00,10.4000,41.5869
FEB1983,1.1597,2.2900,0.5800,4.8084,6.4699,8.9499,6.3190,0.8998,1.0598,0.2599,,,,,,-2.2716,2.7689,72899.00,10.4000,41.5555
MAR1983,0.9496,1.8600,0.4300,5.0536,6.6587,9.1871,6.5050,0.7355,1.0923,0.2142,,,,,,-1.7965,5.0519,73071.00,10.3000,41.9740
APR1983,0.8973,1.9300,0.3200,5.5718,7.2138,9.6135,7.0708,0.7606,0.9976,0.1367,,,,,,-2.0495,3.3771,73362.00,10.2000,42.4478
MAY1983,0.8304,1.3000,0.5900,5.5558,6.8592,9.0320,6.7069,0.8881,1.0291,-0.0577,,,,,,-1.9715,3.5674,73624.00,10.1000,43.0173
JUN1983,0.8108,1.5500,-0.1300,6.0166,6.8814,9.1739,6.6939,0.7050,1.0483,0.1058,,,,,,-1.9507,5.0785,73987.00,10.1000,43.3502
JUL1983,0.7959,0.8900,0.3700,5.8654,6.9422,8.8440,6.7991,0.8967,0.9662,-0.1008,,,,,,-2.3004,4.5700,74414.00,9.4000,44.0183
AUG1983,0.7374,1.0700,1.0900,5.8078,6.8862,9.1794,6.6513,0.9257,0.9758,-0.1883,,,,,,-2.3757,4.6094,74101.00,9.5000,44.3417
SEP1983,0.8133,1.3200,0.4700,5.6798,6.8212,9.3190,6.7332,0.8731,0.9823,-0.0599,,,,,,-2.4679,5.5544,75189.00,9.2000,45.2033
OCT1983,0.7339,1.0600,0.6800,5.8003,6.9931,8.6588,6.6625,0.8233,1.0069,-0.0894,,,,,,-2.9108,4.3625,75516.00,8.8000,45.7144
NOV1983,0.7980,1.2400,0.6100,5.7249,6.7649,8.8958,6.6033,0.7790,1.0182,0.0191,,,,,,-2.3803,4.7243,75857.00,8.5000,45.8790
DEC1983,0.8243,1.2000,0.9300,5.6461,7.3378,9.0983,6.6929,0.7350,1.0529,0.0892,,,,,,-2.5025,5.4478,76202.00,8.3000,46.0314
JAN1984,0.7844,1.6800,0.4000,5.8475,7.3599,9.9598,6.4643,0.7631,1.0171,0.0212,,,,,,-2.3893,5.1323,76647.00,8.0000,46.8966
